cap	metric	character	coefficient	p_value	model_type	n_obs
CAP_2	frequency_pct	dusty	14.359826125491356	0.2865548154241372	LME	6
CAP_2	frequency_pct	nancy	-4.875736208835857	0.9063604238776688	LME	6
CAP_2	frequency_pct	steve	-1.6252454029451726	0.9063604238776789	LME	6
CAP_2	avg_dwell_time	dusty	6.82106631250511	0.016231472234573753	LME	6
CAP_2	avg_dwell_time	nancy	-1.402736908439798	0.9400380143407849	LME	6
CAP_2	avg_dwell_time	steve	-0.46757896947996574	0.9400380143407806	LME	6
CAP_3	frequency_pct	dusty	-3.987775979953163	0.8291040506404457	LME	6
CAP_3	frequency_pct	nancy	47.67709707959732	0.26791510302557864	LME	6
CAP_3	frequency_pct	steve	15.892365693198823	0.2679151030255872	LME	6
CAP_3	avg_dwell_time	dusty	6.41684915311365	0.3409253231292928	LME	6
CAP_3	avg_dwell_time	nancy	20.714245716750497	0.11943014687211793	LME	6
CAP_3	avg_dwell_time	steve	6.904748572250175	0.11943014687211259	LME	6
CAP_1	frequency_pct	dusty	-9.07977630679429	0.34532850345827326	LME	6
CAP_1	frequency_pct	nancy	10.651073493504418	0.7020488521945892	LME	6
CAP_1	frequency_pct	steve	3.550357831168227	0.7020488521945722	LME	6
CAP_1	avg_dwell_time	dusty	-2.58125334354858	0.46692762862631854	LME	6
CAP_1	avg_dwell_time	nancy	1.0912724922466641	0.9250608191700083	LME	6
CAP_1	avg_dwell_time	steve	0.363757497415567	0.9250608191700054	LME	6
CAP_5	frequency_pct	dusty	2.334658744074798	0.9006436305045274	LME	6
CAP_5	frequency_pct	nancy	-47.41763192545873	0.002098443842586568	LME	6
CAP_5	frequency_pct	steve	-15.805877308486341	0.002098443842586719	LME	6
CAP_5	avg_dwell_time	dusty	1.8758901522359825	0.5559653567680264	LME	6
CAP_5	avg_dwell_time	nancy	2.371316137221944	0.7918820584663291	LME	6
CAP_5	avg_dwell_time	steve	0.7904387124073378	0.7918820584663246	LME	6
CAP_4	frequency_pct	dusty	3.541775642274651	0.7202586763552083	LME	6
CAP_4	frequency_pct	nancy	18.264294043836962	0.45427061963070625	LME	6
CAP_4	frequency_pct	steve	6.088098014612272	0.45427061963070803	LME	6
CAP_4	avg_dwell_time	dusty	3.512263134531071	0.35282480152467044	LME	6
CAP_4	avg_dwell_time	nancy	2.322425844820165	0.8500933704333364	LME	6
CAP_4	avg_dwell_time	steve	0.7741419482733651	0.8500933704333338	LME	6
