index,valence_ratings,arousal_ratings,reason,run
S01E02R01_clip0000,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0178,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0179,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0180,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0181,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0182,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0183,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R01_clip0184,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R01
S01E02R06_clip0082,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0083,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0084,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0085,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0086,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0087,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0088,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0089,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0090,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0091,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0092,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0093,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0094,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0095,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0096,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0097,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0098,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0099,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0100,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0101,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0102,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0103,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0104,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0105,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E02R06
S01E02R06_clip0106,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E02R06_clip0107,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E02R06
S01E03R02_clip0307,2,1,"Insufficient ratings (val: 2, aro: 1)",S01E03R02
S01E03R02_clip0310,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E03R02
S01E03R06_clip0415,1,1,"Insufficient ratings (val: 1, aro: 1)",S01E03R06
,0,0,"Insufficient ratings (val: 0, aro: 0)",S01E04R01
,0,0,"Insufficient ratings (val: 0, aro: 0)",S01E04R03
,0,0,"Insufficient ratings (val: 0, aro: 0)",S01E04R03
,0,0,"Insufficient ratings (val: 0, aro: 0)",S01E04R03
