Episode,Run,N_clips,Valence_ICC,Valence_ICC_CI_Lower,Valence_ICC_CI_Upper,Valence_ICC_pval,Valence_Spearman_r,Valence_Spearman_pval,Arousal_ICC,Arousal_ICC_CI_Lower,Arousal_ICC_CI_Upper,Arousal_ICC_pval,Arousal_Spearman_r,Arousal_Spearman_pval
1,1,334,0.0,-0.05,0.06,0.49999999999992145,,,0.030624729380155726,-0.05,0.12,0.23407331658399463,0.17950227456167225,0.0009841185306413232
1,2,276,0.0,-0.11,0.11,0.5000000000001243,,,-2.209770827859686e-16,-0.1,0.1,0.49999999999987643,,
1,3,275,8.141635513917815e-17,-0.07,0.07,0.500000000000051,,,-1.05873023588008e-16,-0.07,0.08,0.49999999999994904,,
2,1,305,-9.115419613466144e-17,-0.0,0.0,0.5000000000002274,,,4.759213246811984e-17,-0.08,0.09,0.49999999999986106,,
2,2,250,0.06390340867260547,0.02,0.12,0.00018655657894947608,0.3128628794031861,4.676678195560634e-07,0.046358483153424494,0.01,0.09,4.634127001224761e-05,0.3272934445787716,1.2577925103042303e-07
2,3,362,0.036395818745979164,-0.03,0.13,6.831249459713449e-06,0.18933464958539178,0.0002915455105408153,0.002828896212093083,-0.05,0.06,0.4626066261801527,0.052508588305715455,0.3191159508409859
2,4,354,8.365077058029958e-05,-0.0,0.0,0.46045529989677075,0.012673740094273292,0.8121749312184565,0.0,-0.09,0.09,0.5000000000000553,,
2,5,295,0.0,,,,,,0.1284102754778867,0.01,0.25,0.0018363917510778713,0.2446314904719671,2.1513589946858016e-05
2,6,192,0.0037384379913086223,-0.01,0.02,0.274403862789275,0.066365659311359,0.36040511862803126,0.12870641902899968,-0.0,0.26,0.012411017569294944,0.410734789171083,3.2715454285908913e-09
2,7,294,0.0033954856546626216,-0.05,0.06,0.4514884055220894,0.05936971207141033,0.3103265607283466,0.30339228761960024,0.16,0.43,7.744659817965143e-10,0.351330195477183,5.752672996704736e-10
3,1,272,-0.022786509919054412,-0.14,0.1,0.6458830734548778,-0.026934915462343507,0.6583036286823483,0.13148134204987028,-0.07,0.33,2.316138239982305e-07,0.4188604316612209,5.575663828285438e-13
3,2,309,0.02097902097902096,-0.08,0.13,0.34885188931023126,0.020391039941546223,0.7210722037837509,0.0007102037337778038,-0.0,0.0,0.00020513885977272166,0.32897584747988445,3.119846847036608e-09
3,3,317,0.43320806286299995,0.34,0.52,2.5306089098734166e-16,0.48036453883601654,1.2013825772868553e-19,1.3456556130824322e-16,-0.0,0.0,0.4999999999999331,,
3,4,359,0.2572873082287312,0.16,0.35,3.866014098818132e-07,0.28084926011740496,6.229432535721327e-08,-0.0024779483626736587,-0.01,0.01,0.8740202457958312,-0.09289618910119679,0.07878224580573302
3,5,268,0.03630254262494065,-0.04,0.12,0.17133648766144435,0.08546255499150518,0.16298678992793655,0.027261927754833208,-0.01,0.12,2.6244616979868207e-31,0.5403996981279251,1.0100850332500456e-21
3,6,415,0.19131970459167286,0.1,0.28,1.4434319306857596e-05,0.26331612466414034,5.199447863472536e-08,0.035531242989525286,-0.03,0.13,3.716535156362932e-09,0.2625766337063916,5.682923540155272e-08
4,1,307,0.2956619110816194,-0.09,0.58,1.7377091745143625e-24,0.6898660192991897,1.0662849109580946e-44,0.2652148712428582,-0.02,0.48,2.343388315183246e-13,0.41648433736732177,2.6070022167894455e-14
4,2,296,-2.5623860841251185e-16,-0.03,0.04,0.4999999999999247,,,0.30171347818406646,-0.08,0.64,7.137986906225968e-46,0.7102201302474175,9.9368243726387e-47
4,3,293,-0.039988504331403774,-0.06,0.09,0.9999999999999999,-0.474060823787471,8.015381684286695e-18,0.24534838868043665,-0.0,0.44,1.2452339317569579e-10,0.5294626793231858,1.4285808931295042e-22
4,4,334,-0.014952667814113677,-0.05,0.03,0.8896178902045064,-0.09699877357249227,0.0766858546508265,0.2685571082976522,-0.05,0.62,1.614724263542766e-67,0.6734882074700328,1.736740626642928e-45
4,5,230,-0.02730560824238278,-0.09,0.04,0.892462164685698,-0.12274065040225102,0.06312006320843282,0.15199480478277236,-0.07,0.42,1.6207139623292297e-16,0.5845850934823136,1.7758868893472248e-22
